organization_code,organization_full_name
LKP_faction_in_Latvian_railwaymen_union,Latvijas Komunistiskās partijas frakcija Latvijas dzelzceļnieku savienībā
LKP_shoemakers_faction,Latvijas Komunistiskās partijas apavnieku frakcija
LKP_soldiers_center,Latvijas Komunistiskās partijas kareivju centrs
LKP_soldiers_org,Latvijas Komunistiskās partijas kareivju organizācija
LKP_textile_workers_faction,Latvijas Komunistiskās partijas tekstilstrādnieku frakcija
LKP_woodworkers_faction,Latvijas Komunistiskās partijas kokstrādnieku frakcija
LKS,Latvijas Komjaunatnes savienība
LSJS,Latvijas Sociālistiskā jaunatnes savienība
LSJS_CK,Latvijas Sociālistiskās jaunatnes savienības Centrālā komiteja
LSJS_LKJS_Riga_org,Latvijas Sociālistiskās jaunatnes savienības Rīgas organizācija un Latvijas Komunistiskās jaunatnes savienības Rīgas organizācija
LSJS_LSSZP,Latvijas Sociālistiskā jaunatnes savienība un Latvijas Sociālistiskā strādnieku un zemnieku partija
LSJS_Riga_org_I_district_committee,Latvijas Sociālistiskās jaunatnes savienības Rīgas organizācijas I rajona komiteja
LSJS_Ziemelkurzeme_regional_committee,Latvijas Sociālistiskās jaunatnes savienības Ziemeļkurzemes apgabala komiteja
LSJS_students_struggle_committee,Latvijas Sociālistiskās jaunatnes savienības studentu cīņas komiteja
LSSZP,Latvijas Sociālistiskā strādnieku un zemnieku partija
LSSZP_CK,Latvijas Sociālistiskās strādnieku un zemnieku partijas Centrālā komiteja
LSSZP_CK_LDJS_CK,Latvijas Sociālistiskās strādnieku un zemnieku partijas Centrālā komiteja un Latvijas Darba jaunatnes savienības Centrālā komiteja
LSSZP_CK_LSJS_CK,Latvijas Sociālistiskās strādnieku un zemnieku partijas Centrālā komiteja un Latvijas Sociālistiskās jaunatnes savienības Centrālā komiteja
LSSZP_LDJS_LKP_Liepaja_org_committee,"Latvijas Sociālistiskās strādnieku un zemnieku partijas Liepājas organizācijas komiteja, Latvijas Darba jaunatnes savienības Liepājas organizācijas komiteja un Latvijas Komunistiskās partijas Liepājas organizācijas komiteja"
LSSZP_LKP_Riga_committee,Latvijas Sociālistiskās strādnieku un zemnieku partijas Rīgas komiteja un Latvijas Komunistiskās partijas Rīgas komiteja
LSSZP_Latvian_trade_workers,Latvijas Sociālistiskā strādnieku un zemnieku partija un Latvijas arodnieciskā strādniecība
Latvian_Revolutionary_Writers_Artists_Journalists_Association,"Latvijas Revolucionāro rakstnieku, mākslinieku un žurnālistu apvienība"
Latvian_Revolutionary_Writers_Artists_Journalists_Association_Central_Board,"Latvijas Revolucionāro rakstnieku, mākslinieku un žurnālistu apvienības Centrālā valde"
Latvian_Revolutionary_Writers_Poets_Artists_Association,"Latvijas Revolucionāro rakstnieku, dzejnieku un mākslinieku apvienība"
Latvian_United_Revolutionary_Writers_Artists_Journalists_Association_Central_Board,"Latvijas Apvienoto revolucionāro rakstnieku, mākslinieku un žurnālistu apvienības Centrālā valde"
Latvian_antifascist_intelligentsia,Latvijas pretfašistiskā inteliģence
Port_workers_unit_committee,Ostu strādnieku vienības komiteja
Revolutionary_metal_workers_committee,Revolucionāro strādnieku metālistu komiteja
Riga_port_workers_unit_committee,Rīgas ostas strādnieku vienības komiteja
Riga_textile_workers_unit_committee,Rīgas tekstilstrādnieku vienības komiteja
SP_CK,Latvijas Sarkanās Palīdzības Centrālā komiteja
SP_CK_SP_Riga_committee,Latvijas Sarkanās Palīdzības Centrālā komiteja un Latvijas Sarkanās Palīdzības Rīgas komiteja
SP_CK_revolutionary_writers_artists_journalists_union_progressive_intellectuals_doctors_teachers_lawyers_group,"Latvijas Sarkanās Palīdzības Centrālā komiteja, revolucionāro rakstnieku, mākslinieku un žurnālistu apvienības Centrālā valde, progresīvo inteliģentu apvienības un progresīvo ārstu, skolotāju un juristu grupa"
SP_Riga_org,Latvijas Sarkanās Palīdzības Rīgas organizācija
SP_Daugavpils_city_committee,Latvijas Sarkanās Palīdzības Daugavpils pilsētas komiteja
SP_Jelgava_prison_political_prisoners,Jelgavas cietuma politieslodzītie (Latvijas Sarkanā Palīdzība)
SP_Latgale_regional_committee,Latvijas Sarkanās Palīdzības Latgales apgabala komiteja
SP_Riga_committee,Latvijas Sarkanās Palīdzības Rīgas komiteja
SP_Riga_org_I_district_committee,Latvijas Sarkanās Palīdzības Rīgas organizācijas I rajona komiteja
Shoemakers_committee,Apavnieku komiteja
Shoemakers_unit_committee,Apavstrādnieku vienības komiteja
Socialdemocratic_Communist_workers_youth_united_struggle_committee,Sociāldemokrātisko un komunistisko strādnieku un jauniešu vienota cīņas komiteja
Spanish_Popular_Front_Daugavpils_aid_committee,Spāņu Tautas frontes Daugavpils palīdzības komiteja
United_antifascist_committee,Vienotās pretfašisma cīņas komiteja
Upes_cell,"""Upes"" šūniņa"
VEF_revolutionary_unit_committee,VEF revolucionārās vienības komiteja
Youth_Riga_committee,Jaunatnes Rīgas komiteja
[LKP_CK],Latvijas Komunistiskās partijas Centrālā komiteja [atribūcija nav droša]
